,user_id,social_type,channel_link,channel_name,channel_info,channel_readiness_collab,channel_verify,channel_ava,social_num_subs,social_num_photos,social_num_videos,social_num_files,social_num_links
0,d6e95df7703544d7b3631225bb7ef324,tg,https://t.me/marketolognamax,Маркетолог на максималках,"13 лет в маркетинге и PR\\n\\nреализовано более 100 проектов\\n\\nАвтор: Сухарева Алина @alinasuhare\\n\\nЗдесь всё о маркетинге, продвижении, личном бренде и развитии!",0,0,https://cdn4.cdn-telegram.org/file/qVEJcCdCH6lPrQ2nC28c1MDdF4uS2WCPasYCxwLPiohIKRdgqxh6yL-kiktdvGo47h6TOj9bvTqjhgSQZCzYIXVgBsMHgs_7DRcXpVZlh9ul0C3vPQjKJvLmItDewcoWwvKU1RWE4uf31PHGUngBXhHFoZ12-h9C-_pBe2rwQyZsKGChyDll2MUO9Ad5oETexyhQUqsNn2gJ7SCCz7vC9eZ0JU4EcG7mx3NyzxkdPH2_ZRzHGYvlXFcp3Qsfz3-kik2kyGzsclExyfuEzs3qr6fxKQHGAo6X6Cepu9djDjyVh7yhsONUSJlDWICzIAJPrx2tUrckPv9dO-tFceSVSA.jpg,174,67,14,6,5
1,4928b0964b2349408596e64e6ce3e4ee,tg,https://t.me/ask_kira,Спросите Киру,"Сбер, Ex-VK/Ozon/Delivery Club.\\nКарьерный консультант, работаю с пишущими спецами: kira-kalimulina.ru/consulting\\nUXW-база: clck.ru/3Dng5u\\n\\nСпросить/реклама @Kira_Kalimulina",0,0,https://cdn4.cdn-telegram.org/file/Gry7ATlGcAzqTnhJ0fgc5jvWOfRxYyaGkHk_dRWs4QLWbPR5fl6u3DXxRdCtABV6HFbGrV4ItX4Iw5t_kWOVgXqJQazGMN0AzLiBl7v9dJiFPKKz3z9KsAmK1bQUeSyfDdVSfIbRT85poRb78sdktOaUv4SLXJ8JbBlqm-aty5EEdd_mYbo5PgnAqNFU2HOr30eghADFBAFmdqOQqKKnQLUalzcLBnTA2zTzHP8cms-_F_sMNUgVM0_qA-UDDZ-Nzklybt604h4QwuPKWNWKw7k1r8-OBJJL72uaqY3GtyNxewQfu72i0Q_fcOYJYbiiE5gtW7eoVZTnRrHOIifVng.jpg,4.3K,617,78,0,320
2,fd357828b88e43d4b8a80d089dacbaa7,tg,https://t.me/MenshikovaproPR,МЕНШИКОВА ПРО ПИАР,"Экспертный блог журналиста и пиарщика,\\nнаблюдателя со своим мнением.\\nПолезно для тех, кто развивает личный бренд и кому нужна стретегия продвижения\\n\\nСвязаться с автором @menshikova_pr",0,0,https://cdn4.cdn-telegram.org/file/kcRmEBzpjeZnCLJM8Ux06GNnfTnGfl0MSoI9_jWdHa-TOnsAtU5K0ZSZE27f8FcS75RcKHpHB1FTJx8KoYpyefVvGcI7C_Qa_bMYZYGZ7TDqK_81QgPBGx8zgXS48T-PezJ0X1uQkGyLPb1j_qzU0pfviS7PF5bErC3Y0JoiA55Rce3ytwArv2fehs5j6667urLD1cXZQKlBWcPMLzhdhSCL630_WSfBaL94GR5AFutcpl5dmSbHFZMNzY4f1QTJ2jnBBh_OjgNcYcYXvaUgVwe2mwKTLTc7m8aSfyo7cJXZ2_QEQkY_CYvBPuXpc62IR82BDmjLKnqteUTmpZwurg.jpg,1.2K,958,513,39,547
3,235cfe5492f24244a6b55e73559e3a7a,tg,https://t.me/zhd_10,Алексей Жданов про Performance маркетинг,Привожу продажи на WB и OZON с помощью внешнего трафика.\\n\\nBeauty/e-commerce/marketplaces/ed-tech\\n\\n- Блогеры\\n- Яндекс Директ\\n- ВК реклама\\n- Telegram ads\\n- CRM стратегии\\n- Автоворонки\\n- AI автоматизация\\n\\n@zhdd_11,0,0,https://cdn4.cdn-telegram.org/file/g8-mvritKiX8gvzrhoAizVAcp3iochnCn98T1iyQgFWI2W3COaFzKfLdE6v0nQ6c6eRju1x6z3ZXSsHur61SHmm-7dkqFjDT-9awrlZUbF30dPHwlfRtGSMNgwsDB5iWPKQeafibPpPQ7-P4J0daSSlvBvjhKe5I4tuPO4_xU4a65W_lKaXR6uazTu9saxuLi4Dfcr7J3aJIGZhoH2IaKII8MqMcqokEKm8n1fc5GN6nfzuH8vRMaYDkE8-qciYRP6QvIfAEH-RhdoFe2AVMrjIaNEKkcvfpgSC-LVofneH8zxsKaEW4R0qe2G6GtvNC5WGtR0QQVwp3EGcy9a2Btw.jpg,871,36,3,6,38
4,fcba5067ddc14643b989c073587ca765,tg,https://t.me/chaikinpro,⚜️Траблшутер. Алексей Чайкин. Бизнес наставник. Маркетолог.,"Консультации, сопровождение, бизнес Наставничество, выступления, предложения - в директ @prochaikin\\n\\nВ канале мысли, концепции, идеи и кейсы в области мышления, маркетинга и бизнес процессов, анонсы событий.\\n\\nРазбираем методы траблшутинга.\\n\\nchaikinpro.ru",0,0,https://cdn4.cdn-telegram.org/file/A8fx2fgDMCKUZD4GB3vWYk9iF0sz16Qw8yMFX-OCIeDc8d8VgnFsr4EKHkeYUVG7Jsl9vZyyMQMt6fquTumc1iJ3WK1XcOsOB65jTdW6kJYtzfHhbDYp5hvdzmws1TOQQOHfMoyMCyH4owiTlXAneAmvH18nTxbDsynEaFXiOJf1NRkxScGMuIyvrZssMl3yP5f0zw305IE4E-IVk4U7yNoAGvOZ58d9PEk_fJb_plb7CD7hsKZOyI0p9iCcept3T3k3p6fN1bJrReyyHsELWftbFt-kSbfl_BDPhVptUhdFIEbUopCvA8fcnhXbJitKzTXYB5G2_qcYOpqY48yMrA.jpg,616,243,65,0,131
5,16603d4989434cb4b4d8987e91f0daf8,tg,https://t.me/lilianagrechka,Гречка про SMM,"Та самая Лиля Гречка\\nДелаю так, чтобы у бизнеса были деньги (через социальные сети и пиар-стратегию)\\n\\nSMM в ГК ТОЧНО\\nРуковожу своим креативным агентством\\n\\nКонтакт для связи: @almondbranch",0,0,https://cdn4.cdn-telegram.org/file/OyTo_b7pX8fUF0qSGmbwDoQNUBCFb16zRpRuYsh-wryUm8nYwdGau8c-Kwe4EmHaEMT_BTmhumNIVjH9chYDghLYE2VbDkYjlyrllaAvZQ7mZ_Q_56X8kZBEdmaKJaOQ9Ztce-llzX2MgcW5ALhlEceXVY4p5-9UtHpynJVwTdwC86td9yhEl7NKQBEnAzd-LcKw-b_CTsFfA0wk5HLTYRYo8CsH60A21JmXXMu4BpMVgROm0VJzCxGWRgUwpOm2FthDZOHn-YcJk6I4hto25_YaDJbtQZut8a-L4XkvEmtatyi6aYfxxEv6RMd85Qw7tu-HrwTDZcUdtB3VQA3_tQ.jpg,515,1.51K,252,2,157
6,24024735e6624192b52bea8e4977b9ff,tg,https://t.me/pgmarketing,ПГ | поисковый маркетинг,"Поисковый маркетинг «Паньшин Групп»: SEO, SERM, PPC, контент-маркетинг, геомаркетинг\\nРазбор кейсов по продвижению клиник и медцентров\\nОставить заявку https://clck.ru/3MwDCV",0,0,https://cdn4.cdn-telegram.org/file/shsJTXKfmQ4QVMYWxRi3vPnH5xoYcS0GBBCRzFOkOSFMHoH2Y3SJTP5xYFjcwH_Dz6uwzcq2NVtezlFMYp3WDqGrIgN8dBHW2ceRb2Go9wzrnJ6ulvd36pMu80IkWld9A9IOfbyzrKnY40Lb1q0N5Q_jLy3Uc20n4aBy-nXa-QsdlYVSi4PdOQt9JfjZAXx05vvTHDyFoPIhWJqN1XeovtsFa9DahP7ghVFX_msyxOrGbN2_771oTrHTjMEMInP-BN2tJuWP7NqClNrE_oCaD4HYiWxs5n8ODvnJNZ1zB4hQFslHNhJbGKezufIRUN1__hFlIchkRHTAzI01V_a2yA.jpg,456,639,61,8,507
7,16729d17e4234f8cbef65aeae71a2380,tg,https://t.me/smmlion,Хроники SMM-львицы,"Маркетинг, брендинг, продвижение\\n\\nРазборы, стратегии, контент. Как расти через смыслы, а не хайп\\n\\nВыступала в Эрмитаже и для Сбербанка. Выпускник Британки и Novikov School. 11+ лет опыта, 300 клиентов",0,0,https://cdn4.cdn-telegram.org/file/ViTNh6glcucuhcXv7PzGRWabTaz3XIBXX244uMNcBN_2IieNgcYbJAPJfmMj4irxSVixNzrLIzapvK0d8T_0z7zHOE47_TbaH1RdBKR7gG-s8-7-WOBAf6I2rr0euLYgDtrmdbMOIgF7_Ep_XncGGzzWN-dyOtjjr0kubh5RNEm_EU3LrHxG5GamGlJG4Sh8eF3jzazR7toLpXbUuDJVjE2sgw7iUDlQP9eqhVwTmYV7vtXN9Q9CgRBDLlqK0txxUsTbKadbYYk-QVI4KxHUUmsRHb9bm_H7y_-bTIvZP8JiG-vMIIXm76hA93xs6h9Bqx5jzLt04jMdDFleIXCVaw.jpg,431,1.27K,299,199,130
8,85da3526af70474da3cb7261db2b7449,tg,https://t.me/zharikovsales,Жариков о продажах 🤝,Сергей Жариков\\nРассказываю понятным языком о маркетинге и продажах по мотивам 20+ лет опыта в развитии проектов для разных отраслей бизнеса.\\n\\nБизнес-трекер Фонда развития инноваций Краснодарского края\\n\\nСвязаться: @zharikovss\\n+7 (952) 830-66-70,0,0,https://cdn4.cdn-telegram.org/file/ufTtn8n2QsCk-nDwpkvBTokfryzfAgG3VRedNaJ2a4uAdN8i6S7by-ObPn2WgWvVbquSKeXZtWZ82Yrxh-v8ca1Z7fVVXulX2f_lt7P9UEybvnx5BNfABWpyNbJSANT3JWLONwNM6lm8eik6H2GA0GkbIrnygujC2SG7gg85K0AsbpIfhkSAbNfFaIEg3zmhcQfrVP0dsP5CjPd6bBO-CWEx6ILY2y-wbdJ4yY_EEQwtx8jKH4wCh6r1N1FJdax6yYRbSut0zB4cI1B0-_giXQ-rWzgqSgbnHTMGhSTrnPVvLDnqRLAHDUmEhLlMgPbnpoBLVHBPpHtWR-p_jkzj8g.jpg,425,259,45,13,114
9,4776c6dd429146bda7b371827ba26ddc,tg,https://t.me/shillersdesign,Студия «Шиллер»,"Я Александр Шиллер\\n\\nЭтот канал о том как создать бренд, который будут выбирать среди конкурентов.\\n\\nО создании смыслов, продукте, маркетинге. О том как делать свой продукт понятным.\\n\\nАлександр: @shiller_lex",0,0,https://cdn4.cdn-telegram.org/file/A-tLyQ6ehdz-WbkqAXK4MTrcN8Z8lyP-zI5tONKGNewjx1S6h30-eJo2dZKMGzwjhPrPfcq0Xj29uJP_pR8lGlaY9FVDpBbLSohEwHci0MhNQ-tIltjgeZbRTdZLNQWT1Ww0ELUww-oJcJ5ZxeEqTWLbD3YxB1KocijwMXdk9repAdYKXIQa01XDOnTjYYmfwhVB3GQyUiurf_l3n_JauhYma4jVNngyYqP0bvofh2NYG3O94NUnYAanPSFHW_72wSdRIRXxaf0PDEYNqKn03pzNSaj4s00t-2AwN9o6prGDPPCn4K5-KE2GBfXzWa8MA9qU3EPhhbIGXVve_56w_w.jpg,392,71,62,5,31
